Category,Id
0,0
1,1
2,2
0,3
3,4
0,5
8,6
3,7
5,8
0,9
3,10
4,11
4,12
4,13
8,14
5,15
4,16
3,17
2,18
4,19
4,20
4,21
2,22
1,23
5,24
7,25
8,26
4,27
4,28
1,29
5,30
7,31
7,32
8,33
1,34
3,35
5,36
8,37
0,38
8,39
2,40
0,41
4,42
2,43
2,44
0,45
3,46
3,47
2,48
3,49
2,50
4,51
5,52
3,53
0,54
5,55
5,56
4,57
0,58
3,59
4,60
5,61
4,62
4,63
1,64
1,65
0,66
7,67
5,68
2,69
7,70
3,71
4,72
0,73
5,74
7,75
1,76
2,77
1,78
3,79
7,80
4,81
1,82
4,83
4,84
8,85
7,86
4,87
1,88
4,89
3,90
4,91
4,92
2,93
2,94
3,95
4,96
7,97
7,98
3,99
7,100
2,101
7,102
0,103
8,104
2,105
3,106
8,107
2,108
7,109
5,110
5,111
4,112
2,113
7,114
5,115
0,116
4,117
7,118
3,119
0,120
5,121
4,122
4,123
7,124
0,125
8,126
5,127
0,128
3,129
1,130
7,131
7,132
4,133
5,134
4,135
4,136
2,137
0,138
4,139
3,140
3,141
3,142
2,143
2,144
2,145
3,146
0,147
1,148
3,149
4,150
3,151
3,152
1,153
5,154
3,155
3,156
3,157
5,158
5,159
2,160
7,161
7,162
3,163
2,164
4,165
0,166
2,167
7,168
2,169
2,170
8,171
7,172
0,173
2,174
4,175
2,176
5,177
7,178
7,179
7,180
1,181
3,182
5,183
1,184
5,185
5,186
4,187
0,188
7,189
4,190
7,191
1,192
4,193
0,194
0,195
2,196
4,197
2,198
7,199
0,200
4,201
2,202
5,203
5,204
8,205
0,206
2,207
1,208
7,209
3,210
4,211
7,212
1,213
5,214
5,215
7,216
8,217
2,218
8,219
5,220
7,221
7,222
3,223
2,224
4,225
5,226
7,227
8,228
1,229
7,230
5,231
0,232
2,233
7,234
7,235
2,236
0,237
5,238
2,239
1,240
5,241
7,242
7,243
0,244
2,245
4,246
5,247
3,248
3,249
8,250
1,251
0,252
4,253
4,254
8,255
4,256
5,257
8,258
3,259
3,260
2,261
4,262
4,263
2,264
7,265
3,266
7,267
2,268
8,269
4,270
8,271
8,272
2,273
7,274
2,275
5,276
5,277
5,278
7,279
8,280
2,281
4,282
8,283
3,284
8,285
3,286
1,287
2,288
2,289
2,290
1,291
8,292
1,293
3,294
0,295
3,296
1,297
7,298
0,299
5,300
2,301
0,302
7,303
2,304
2,305
7,306
4,307
7,308
7,309
1,310
1,311
4,312
3,313
7,314
8,315
7,316
0,317
5,318
2,319
0,320
2,321
5,322
0,323
8,324
5,325
8,326
7,327
7,328
4,329
1,330
2,331
7,332
7,333
4,334
0,335
1,336
2,337
3,338
8,339
2,340
5,341
5,342
0,343
7,344
2,345
5,346
8,347
0,348
4,349
7,350
4,351
4,352
3,353
0,354
2,355
0,356
8,357
5,358
5,359
5,360
1,361
2,362
0,363
7,364
1,365
2,366
7,367
5,368
7,369
8,370
2,371
0,372
2,373
2,374
4,375
0,376
7,377
2,378
5,379
8,380
3,381
5,382
7,383
5,384
1,385
4,386
2,387
7,388
5,389
5,390
0,391
3,392
4,393
7,394
4,395
2,396
4,397
0,398
5,399
0,400
2,401
0,402
2,403
3,404
5,405
7,406
0,407
5,408
0,409
7,410
0,411
5,412
4,413
7,414
7,415
5,416
8,417
4,418
4,419
0,420
4,421
0,422
7,423
8,424
4,425
1,426
0,427
0,428
4,429
4,430
7,431
2,432
3,433
1,434
2,435
5,436
8,437
3,438
8,439
2,440
7,441
1,442
2,443
0,444
7,445
8,446
7,447
4,448
5,449
1,450
0,451
3,452
0,453
5,454
8,455
4,456
7,457
7,458
5,459
5,460
8,461
4,462
0,463
3,464
4,465
7,466
1,467
5,468
2,469
5,470
5,471
5,472
0,473
0,474
7,475
0,476
2,477
7,478
4,479
8,480
4,481
3,482
7,483
3,484
1,485
4,486
7,487
7,488
0,489
8,490
2,491
4,492
8,493
8,494
1,495
7,496
1,497
7,498
3,499
8,500
1,501
2,502
2,503
5,504
3,505
8,506
0,507
4,508
4,509
2,510
5,511
7,512
3,513
2,514
0,515
0,516
2,517
7,518
4,519
5,520
3,521
3,522
8,523
2,524
2,525
5,526
5,527
4,528
7,529
1,530
7,531
8,532
5,533
7,534
3,535
2,536
4,537
2,538
1,539
0,540
4,541
4,542
3,543
2,544
7,545
3,546
5,547
7,548
7,549
7,550
1,551
7,552
2,553
2,554
8,555
4,556
4,557
4,558
8,559
8,560
3,561
7,562
3,563
2,564
7,565
8,566
4,567
2,568
4,569
4,570
7,571
7,572
4,573
5,574
8,575
5,576
4,577
1,578
1,579
2,580
7,581
4,582
4,583
5,584
0,585
2,586
2,587
3,588
4,589
3,590
2,591
0,592
4,593
5,594
2,595
5,596
7,597
3,598
1,599
1,600
3,601
7,602
5,603
7,604
8,605
5,606
3,607
0,608
0,609
7,610
5,611
4,612
2,613
4,614
8,615
0,616
1,617
8,618
5,619
1,620
7,621
8,622
7,623
7,624
3,625
1,626
8,627
3,628
5,629
4,630
7,631
7,632
3,633
7,634
7,635
5,636
1,637
3,638
8,639
4,640
7,641
2,642
2,643
0,644
5,645
4,646
0,647
5,648
1,649
3,650
7,651
7,652
3,653
7,654
7,655
4,656
4,657
2,658
3,659
7,660
4,661
1,662
1,663
8,664
7,665
7,666
5,667
8,668
8,669
4,670
5,671
8,672
1,673
2,674
4,675
4,676
7,677
3,678
7,679
4,680
5,681
7,682
1,683
3,684
8,685
3,686
0,687
3,688
8,689
4,690
0,691
1,692
8,693
0,694
7,695
4,696
7,697
3,698
7,699
1,700
1,701
3,702
2,703
7,704
3,705
2,706
7,707
8,708
7,709
0,710
1,711
3,712
5,713
7,714
4,715
3,716
7,717
7,718
1,719
2,720
7,721
0,722
1,723
7,724
0,725
0,726
5,727
1,728
7,729
8,730
7,731
3,732
7,733
1,734
0,735
3,736
8,737
7,738
4,739
7,740
3,741
0,742
3,743
0,744
8,745
0,746
0,747
8,748
7,749
7,750
7,751
0,752
5,753
5,754
0,755
2,756
7,757
7,758
3,759
1,760
5,761
8,762
3,763
4,764
8,765
7,766
1,767
8,768
8,769
0,770
2,771
7,772
1,773
4,774
3,775
3,776
2,777
1,778
4,779
5,780
0,781
7,782
8,783
8,784
8,785
3,786
0,787
2,788
7,789
8,790
1,791
7,792
3,793
5,794
2,795
4,796
8,797
3,798
1,799
1,800
2,801
1,802
4,803
4,804
7,805
5,806
1,807
1,808
5,809
7,810
4,811
5,812
7,813
5,814
5,815
8,816
0,817
3,818
3,819
1,820
7,821
5,822
3,823
5,824
4,825
4,826
5,827
2,828
7,829
8,830
5,831
7,832
2,833
7,834
3,835
8,836
7,837
4,838
5,839
1,840
7,841
0,842
8,843
8,844
7,845
7,846
0,847
2,848
8,849
7,850
5,851
3,852
0,853
4,854
5,855
0,856
0,857
0,858
8,859
5,860
2,861
2,862
8,863
2,864
4,865
4,866
5,867
4,868
7,869
7,870
5,871
5,872
7,873
2,874
7,875
4,876
7,877
8,878
3,879
0,880
1,881
4,882
3,883
0,884
0,885
0,886
2,887
7,888
7,889
3,890
0,891
1,892
7,893
1,894
5,895
8,896
5,897
4,898
3,899
3,900
0,901
3,902
2,903
5,904
5,905
3,906
0,907
4,908
4,909
7,910
1,911
0,912
0,913
1,914
0,915
3,916
5,917
3,918
7,919
0,920
2,921
2,922
8,923
8,924
0,925
2,926
5,927
2,928
8,929
8,930
3,931
0,932
2,933
8,934
0,935
0,936
2,937
1,938
2,939
1,940
3,941
2,942
5,943
2,944
5,945
0,946
4,947
0,948
2,949
7,950
0,951
5,952
0,953
0,954
2,955
1,956
8,957
5,958
0,959
2,960
4,961
3,962
3,963
2,964
3,965
0,966
2,967
4,968
7,969
0,970
3,971
4,972
7,973
4,974
7,975
1,976
4,977
7,978
2,979
3,980
7,981
1,982
3,983
8,984
8,985
4,986
2,987
4,988
5,989
0,990
7,991
4,992
0,993
2,994
5,995
2,996
7,997
4,998
5,999
4,1000
2,1001
4,1002
7,1003
2,1004
4,1005
0,1006
5,1007
1,1008
3,1009
8,1010
2,1011
1,1012
8,1013
4,1014
4,1015
8,1016
7,1017
7,1018
0,1019
8,1020
5,1021
7,1022
4,1023
1,1024
2,1025
8,1026
5,1027
2,1028
7,1029
5,1030
1,1031
8,1032
3,1033
5,1034
4,1035
2,1036
7,1037
4,1038
5,1039
2,1040
4,1041
5,1042
7,1043
5,1044
7,1045
8,1046
0,1047
2,1048
2,1049
4,1050
4,1051
7,1052
4,1053
3,1054
2,1055
0,1056
8,1057
8,1058
8,1059
7,1060
